,ProfileId,CarName,PriceNumeric,KmNumeric,MakeYear,Color,CityName,OwnerTypeId
263,S976653,Toyota Corolla Altis G Diesel,790000,59000,2012,White Pearl Mica,Pune,1
264,S978516,Toyota Innova 2.5 VX BS IV 7 STR,1400000,41000,2015,Grey Mica Metallic,Pune,1
265,S964722,Toyota Etios GD,430000,89000,2012,,Pune,2
266,S993046,Toyota Camry V6 AT,520000,89379,2005,White,Pune,1
267,S966864,Toyota Innova 2.5 EV PS 7 STR BS-IV,1400000,100000,2014,,Pune,1
268,S961656,Toyota Etios GD,600000,150000,2014,,Pune,1
269,S976716,Toyota Innova 2.5 VX 7 STR,900000,139000,2010,Grey,Pune,1
270,S975218,Toyota Etios GD,550000,150000,2013,Classic Grey,Pune,1
271,S975920,Toyota Innova 2.5 G1,515000,170002,2006,Silver Mica,Pune,1
272,S964122,Toyota Innova 2.5 G 7 STR BS-IV,889000,177000,2013,White,Pune,2
273,S976602,Toyota Innova 2.5 GX 7 STR,650000,210000,2011,White,Pune,1
274,D1375127,Toyota Etios V SP*,350000,35000,2011,White,Pune,1
275,D1482929,Toyota Innova 2.0 V,1250000,98000,2013,Silver,Pune,1
276,D1384684,Toyota Fortuner 3.0 4x2 MT,1890000,65000,2013,Black,Pune,1
277,S987795,Toyota Etios Xclusive Petrol,348000,19500,2014,Classic Grey,Pune,1
278,S985328,Toyota Etios VD,600000,50100,2013,Symphony Silver,Pune,1
279,S977217,Toyota Etios Liva GD,480000,50000,2012,White,Pune,1
280,S977872,Toyota Innova 2.5 GX 8 STR BS-III LTD,1250000,34500,2014,White,Pune,1
281,S977871,Toyota Innova 2.0 GX 8 STR BS-IV,1250000,34700,2014,White,Pune,1
282,S980038,Toyota Etios TRD Sportivo Diesel Ltd,530000,60000,2012,White,Pune,1
283,S999452,Toyota Corolla Altis 1.8 VL AT,789000,58000,2013,Super White Ll,Pune,1
284,S992189,Toyota Innova 2.5 ZX 7 STR BS-IV,950000,45000,2013,Grey Mica Metallic,Pune,1
285,S990961,Toyota Innova 2.5 GX 8 STR BS-III,1325000,37000,2014,Silky Gold Mica Metallic,Pune,1
286,S973590,Toyota Innova 2.5 G BS IV 7 STR,1100000,51000,2015,Golden Beige,Pune,1
287,S997880,Toyota Corolla Levin Fz,155000,77600,2003,Silver,Pune,2
288,S976183,Toyota Corolla Levin Fz,250000,87000,2006,White,Pune,2
289,S966156,Toyota Corolla Levin Fz,222222,87000,2005,,Pune,3
290,S976148,Toyota Etios GD SP,370000,78000,2011,Symphony Silver,Pune,2
291,S979631,Toyota Etios GD,500000,86000,2015,White,Pune,1
292,S969067,Toyota Corona Petrol,150000,97000,2003,,Pune,3
293,S976050,Toyota Corolla Levin Fz,175000,93500,2005,Gold,Pune,2
294,S977462,Toyota Corolla Levin Fz,180000,93500,2005,Silver,Pune,1
295,S982122,Toyota Fortuner 3.0 4x2 AT,2300000,37000,2014,Super White,Pune,2
296,S982117,Toyota Fortuner 3.0 4x2 AT,2300000,37000,2014,Super White,Pune,2
297,S991837,Toyota Innova 2.5 G3,450000,100000,2006,Silver,Pune,1
298,S976386,Toyota Corolla Altis GL Diesel,1200000,81000,2011,Champagne Mica Metallic,Pune,1
299,S989684,Toyota Innova 2.5 VX BS IV 7 STR,1580000,65000,2015,Silver Mica Metallic,Pune,1
300,S998940,Toyota Etios Liva GD,380000,100000,2011,Vermilion Red,Pune,2
