Seller,PriceNumeric,KmNumeric,MakeYear,RootName,Color,Fuel,GearBox,CityName,OwnerTypeId,BodyStyleId,enc_seller,enc_gearBox,enc_fuel,enc_color_silver,enc_color_white,enc_color_grey,enc_color_gold,enc_color_black,enc_color_blue,enc_color_other,enc_city_new_delhi,enc_city_mumbai,enc_city_bangalore,enc_city_hyderabad,enc_city_chennai,enc_city_thane,enc_city_other,enc_name_innova,enc_name_fortuner,enc_name_corolla_altis,enc_name_etios,label
Dealer,340000,53000,2009,Corolla Altis,Blue,Petrol,Manual,Mumbai,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,18
Dealer,750000,107000,2011,Innova,Blue,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,445000,48494,2012,Etios,Blue,Diesel,Manual,Mumbai,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,26
Dealer,381000,67000,2009,Corolla Altis,Blue,Petrol,Manual,Mumbai,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,18
Dealer,715000,126500,2009,Innova,Blue,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,1110000,138000,2013,Innova,Blue,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,1220000,162412,2013,Innova,Blue,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,1400000,31000,2014,Corolla Altis,Blue,Petrol,Automatic,Mumbai,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,8
Dealer,398000,58000,2009,Corolla Altis,Blue,Petrol,Manual,Mumbai,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,18
Dealer,995000,78208,2013,Innova,Blue,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,1650000,63057,2012,Fortuner,Blue,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,29
Dealer,4850000,150002,2012,Prado,Blue,Diesel,Automatic,Mumbai,1,6,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,16
Dealer,1200000,160000,2013,Innova,Blue,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,17
Individual,500000,32500,2010,Corolla Altis,Light Blue Metallic,Petrol,Automatic,Mumbai,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,14
Individual,750000,105000,2009,Innova,Light Blue Metallic,Diesel,Manual,Mumbai,1,6,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,7
Individual,500000,32500,2010,Corolla Altis,Light Blue Metallic,Petrol,Automatic,Mumbai,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,14
Individual,500000,40000,2008,Corolla Altis,Light Blue Metallic,Petrol,Manual,Mumbai,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,14
Individual,410000,42000,2012,Etios Liva,Ultramarine Blue,Diesel,Manual,Mumbai,1,3,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3
Individual,375000,71000,2010,Corolla Altis,Blue,Petrol,Manual,Mumbai,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,14
Dealer,2250000,19377,2016,Innova,Bronze,Diesel,Automatic,Mumbai,1,6,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,20
Dealer,415000,45663,2010,Corolla Altis,Gold,Petrol,Manual,Mumbai,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18
Dealer,800000,72000,2010,Innova,Gold,Diesel,Manual,Mumbai,2,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,355000,27000,2012,Etios Liva,Gold,Petrol,Manual,Mumbai,1,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,27
Dealer,1085000,76000,2012,Innova,Gold,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,685000,97000,2009,Innova,Gold,Petrol,Manual,Mumbai,1,6,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,750000,137000,2010,Innova,Gold,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,2200000,80000,2014,Fortuner,Gold,Diesel,Automatic,Mumbai,1,6,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,16
Dealer,200000,40454,2005,Corolla,Gold,Petrol,Manual,Mumbai,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,22
Dealer,199000,49580,2007,Corolla,Gold,Petrol,Manual,Mumbai,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,22
Dealer,211000,100000,2006,Corolla,Gold,Petrol,Automatic,Mumbai,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,22
Dealer,590000,76000,2008,Innova,Gold,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,730000,137000,2010,Innova,Gold,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,550000,175000,2008,Innova,Gold,Diesel,Manual,Mumbai,3,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Dealer,285000,58000,2008,Corolla,Gold,Petrol,Manual,Mumbai,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,22
Dealer,975000,60249,2012,Innova,Gold,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,1775000,41000,2012,Fortuner,Gold,Diesel,Automatic,Mumbai,1,6,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,16
Dealer,390000,65000,2008,Corolla Altis,Gold,Petrol,Automatic,Mumbai,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18
Dealer,390000,68000,2010,Corolla Altis,Gold,Petrol,Manual,Mumbai,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18
Dealer,615000,65000,2008,Innova,Gold,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,1095000,90550,2013,Innova,Gold,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,1025000,49570,2012,Innova,Gold,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,950000,62388,2012,Innova,Gold,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,975000,60276,2012,Innova,Gold,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,850000,87572,2011,Innova,Gold,Diesel,Manual,Mumbai,1,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17
Dealer,575000,114373,2008,Innova,Gold,Diesel,Manual,Mumbai,2,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Dealer,1249000,60000,2013,Innova,Gold,Petrol,Manual,Mumbai,1,6,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,17
